word;level;kana reading;TranslationEng;TranslationRus;SpecialReading;KanaOnly;check this;;
曇;3;くもり;;облачность, пасмурная погода, тень, хандра;0;0;;;
曇る;1;くもる;;становиться пасмурным;0;0;;;
曖昧;4;あいまい;;неясный, туманный, рассеянный, двусмысленный, подозрительный;0;0;;;
曜日;3;ようび;;день недели;0;0;;;
更ける;4;ふける;;становиться позднее, продвигаться;0;0;;;
更に;3;さらに;;снова, еще раз, сверх того, нисколько (с отриц.);0;0;;;
書取;4;かきとり;;диктовка, диктант;0;0;;;
書斎;3;しょさい;;рабочий кабинет;0;0;;;
書物;3;しょもつ;;книга;0;0;;;
書籍;4;しょせき;;книга;0;0;;;
替える・換える;3;かえる;;менять, заменять, обменивать, конвертировать;0;0;;;
最中;3;さいちゅう;;в самой середине, в разгар;0;0;;;
最初;2;さいしょ;;в начале, сперва;0;0;;;
最後;2;さいご;;конец, последний раз;0;0;;;
最終;3;さいしゅう;;последний, конечный, заключительный, окончательный;0;0;;;
最高;3;さいこう;;максимальный, лучший, оптимальный, отлично!;0;0;;;
〜月;1;がつ;;название месяца;0;0;;;
月日;4;つきひ;;время, годы, дата;0;0;;;
月曜;3;げつよう;;(сокр.) понедельник;0;0;;;
月末;4;げつまつ;;конец месяца;0;0;;;
月給;4;げっきゅう;;месячная зарплата;0;0;;;
有利;3;ゆうり;;выгодный, полезный, благоприятный;0;0;;;
有名;1;ゆうめい;;известный, знаменитый;0;0;;;
有料;4;ゆうりょう;;плата;0;0;;;
有無;4;うむ;;присутствие или отсутствие, да или нет, наличие;0;0;;;
有能;3;ゆうのう;;способный, умеющий, знающий, компетентный;0;0;;;
有難い;4;ありがたい;;желанный, хороший, добрый, благодарный;0;0;;;
服装;3;ふくそう;;одежда, одеяние, костюм;0;0;;;
朗らか;4;ほがらか;;яркий, жизнерадостный, веселый;0;0;;;
望み;3;のぞみ;;желание, надежда;0;0;;;
望む;3;のぞむ;;желать, надеяться, видеть вдалеке;0;0;;;
望遠鏡;4;ぼうえんきょう;;телескоп;0;0;;;
朝寝坊;2;あさねぼう;;соня;0;0;;;
朝御飯;1;あさごはん;;завтрак;0;0;;;
期待;3;きたい;;ожидания, надежды;0;0;;;
期限;4;きげん;;период, срок;0;0;;;
木曜;3;もくよう;;(сокр.) четверг;0;0;;;
木材;4;もくざい;;древесина, лесоматериал;0;0;;;
木綿;2;もめん;;хлопчатобумажная ткань;0;0;;;
未だ;1;まだ;;все еще, пока… , еще не;0;0;;;
未来;3;みらい;;будущее;0;0;;;
未満;4;みまん;;менее, недостаточно;0;0;;;
末;3;すえ;;конец, окончание, в конечное счете, пустяки, мелочи, будущее;0;0;;;
末っ子;4;すえっこ;;младший ребёнок;0;0;;;
〜本;1;ほん;;сч. суф. для продолговатых предметов;0;0;;;
本人;3;ほんにん;;сам, лично, лицо, о котором идет речь;0;0;;;
本来;4;ほんらい;;изначально, первоначально, в основе;0;0;;;
本棚;1;ほんだな;;книжная полка;0;0;;;
本物;3;ほんもの;;настоящая подлинная вещь, подлинное мастерство;0;0;;;
本部;4;ほんぶ;;штаб, главное управление, дивизия;0;0;;;
札;3;さつ;;бумажные деньги, банкноты;0;0;;;
机;1;つくえ;;стол;0;0;;;
杉;4;すぎ;;японский кедр;0;0;;;
材木;4;ざいもく;;бревно, лесоматериалы;0;0;;;
束;3;たば;;связка, вязанка, сноп, пучок;0;0;;;
条件;3;じょうけん;;условие, договоренность;0;0;;;
来;3;らい;;следующий, начиная с;0;0;;;
来日;4;らいにち;;приезд в Японию;0;0;;;
〜杯;1;はい・ぱい;;сч. суф. выпитых чашек, рюмок;0;0;;;
東西;4;とうざい;;восток и запад;0;0;;;
松;3;まつ;;сосна;0;0;;;
板;3;いた;;доска, плита;0;0;;;
枕;4;まくら;;подушка, валик;0;0;;;
〜枚;1;まい;;сч. суф. для плоских предметов;0;0;;;
枚数;4;まいすう;;число страниц, листаж, объем;0;0;;;
果して;4;はたして;;как и ожидалось, на самом деле;0;0;;;
果実;4;かじつ;;фрукт, орех, ягода, плод, прибыть;0;0;;;
枝;2;えだ;;ветка;0;0;;;
枯れる;4;かれる;;засохнуть, высохнуть, завять;0;0;;;
架空;4;かくう;;надземный, подвесной, воздушный, вымышленный, фиктивный;0;0;;;
柄;3;え, がら;;ручка, рукоятка, узор, рисунок, телосложение, характер;0;0;;;
柔道;2;じゅうどう;;дзюдо (национальное боевое искусство);0;0;;;
栄養;3;えいよう;;питание;0;0;;;
栓;4;せん;;пробка, затычка, задвижка;0;0;;;
校庭;4;こうてい;;школьная площадка;0;0;;;
校舎;4;こうしゃ;;здание школы;0;0;;;
株;3;かぶ;;пень, корень, (перен.) основа, акция, пай;0;0;;;
根;3;ね;;корень, основание, нижняя часть, подножие, натура;0;0;;;
格別;4;かくべつ;;исключительный, особенный;0;0;;;
格好・恰好;2;かっこう;;внешний вид, облик, фигура;0;0;;;
桁;4;けた;;балка, бревно, рея, разряд;0;0;;;
案内;3;あんない;;информация, гид, проводник;0;0;;;
案内（する） ;2;あんない（する）;;гид, быть проводником, показывать дорогу;0;0;;;
案外;4;あんがい;;неожиданный, непредвиденный;0;0;;;
桜;3;さくら;;сакура, вишневое дерево;0;0;;;
梅;3;うめ;;слива (японская);0;0;;;
梅雨;3;つゆ, ばいう;;сезон дождей;0;0;;;
梯子;4;はしご;;лестница;0;0;;;
棄てる;4;すてる;;выбрасывать, бросить;0;0;;;
棒;3;ぼう;;палка, дубинка, шест, черта;0;0;;;
棚;2;たな;;полка;0;0;;;
椀;4;わん;;деревянная чаша;0;0;;;
椅子;1;いす;;стул;0;0;;;
植える;2;うえる;;сажать (растения), выращивать;0;0;;;
植木;4;うえき;;садовое растение;0;0;;;
植物;3;しょくぶつ;;растение, растительность, флора;0;0;;;
検査;3;けんさ;;проверка, осмотр, анализ;0;0;;;
検討;3;けんとう;;изучение, рассмотрение;0;0;;;
楕円;4;だえん;;эллипс, овал;0;0;;;
極;3;ごく;;очень, крайне, весьма;0;0;;;
楽;3;らく;;удобство, приятность, легкость;0;0;;;
楽しみ;2;たのしみ;;удовольствие;0;0;;;
概論;4;がいろん;;введение, очерк;0;0;;;
構いません;2;かまいません;;всё равно, можно, не возражаю;0;0;;;
構う;3;かまう;;беспокоиться, обращать внимание, заботиться;0;0;;;
構成;3;こうせい;;составление, формирование, состав, конструкция;0;0;;;
構造;4;こうぞう;;структура, строение, конструкция;0;0;;;
様;2;さま, よう;;суф вежливого обращения (господин, госпожа), такой как, похожий;0;0;;;
様々;3;さまざま;;различные, всяческие, всевозможные;0;0;;;
標本;4;ひょうほん;;образец, модель, экспонат;0;0;;;
標準;4;ひょうじゅん;;стандарт, уровень, норма, критерий;0;0;;;
標識;4;ひょうしき;;опознавательный знак, буй;0;0;;;
模様;3;もよう;;узор, рисунок, состояние дел, ситуация, признаки;0;0;;;
権利;3;けんり;;(юр.) право;0;0;;;
横切る;3;よこぎる;;пересекать, переходить;0;0;;;
機嫌;3;きげん;;состояние здоровья, самочувствие, настроение;0;0;;;
機関車;4;きかんしゃ;;локомотив, двигатель;0;0;;;
櫛;4;くし;;расческа, гребешок;0;0;;;
欄;4;らん;;колонка, столбец, графа, рубрика, перила;0;0;;;
欠席;3;けっせき;;неявка (на занятия), отсутствие;0;0;;;
欠陥;3;けっかん;;недостаток, дефект, нехватка, дефицит;0;0;;;
次々;3;つぎつぎ;;один за другим;0;0;;;
次ぎ;1;つぎ;;следующий;0;0;;;
次第;3;しだい;;порядок, последовательность, причина, как только, сразу же после;0;0;;;
欧米;4;おうべい;;Европа и Америка, Запад;0;0;;;
欲しい;1;ほしい;;желанный, хотеть;0;0;;;
欲張り;4;よくばり;;жадность, алчность;0;0;;;
歌謡;4;かよう;;песня, баллада;0;0;;;
歓迎;3;かんげい;;радушный приём;0;0;;;
止す;3;よす;;прекратить, бросить, отказаться от намерения;0;0;;;
止む;2;やむ;;кончаться, переставать;0;0;;;
止むを得ない;4;やむをえない;;неизбежный, вынужденный, неотложный;0;0;;;
止める;2;とめる, やめる;;останавливать, прекращать, переставать, оставлять (службу);0;0;;;
正;3;せい;;справедливость, правда, правильность;0;0;;;
正味;4;しょうみ;;чистый, нетто;0;0;;;
正式;3;せいしき;;формальность, надлежащая форма (официальная);0;0;;;
正方形;4;せいほうけい;;квадрат;0;0;;;
正直;3;しょうじき;;честность, прямота;0;0;;;
正確;3;せいかく;;точность, правильность;0;0;;;
正門;4;せいもん;;главные ворота;0;0;;;
正面;4;しょうめん;;фасад, фронт, передняя часть;0;0;;;
此の頃;2;このごろ;;(в) последнее время;0;0;;;
此れから;2;これから;;сейчас, теперь, отныне, впредь;0;0;;;
武器;3;ぶき;;оружие;0;0;;;
武士;4;ぶし;;воин, самурай, боец;0;0;;;
歯医者;2;はいしゃ;;стоматолог, зубной врач;0;0;;;
歯磨き;4;はみがき;;зубная паста;0;0;;;
〜歳;1;さい;;…лет (возраст);0;0;;;
死ぬ;1;しぬ;;умирать;0;0;;;
死亡;3;しぼう;;смерть, кончина;0;0;;;
死体;4;したい;;труп, мёртвое тело;0;0;;;
殆ど;2;ほとんど;;почти;0;0;;;
残らず;4;のこらず;;все без остатка, целиком, без исключения;0;0;;;
残り;3;のこり;;остаток;0;0;;;
残念;2;ざんねん;;досадный, вызывающий сожаление;0;0;;;
殖える;4;ふえる;;увеличиваться, вырасти;0;0;;;
殖やす;4;ふやす;;увеличивать, преумножать, расширять;0;0;;;
殴る;4;なぐる;;бить, колотить, ударять, шлёпать;0;0;;;
段;3;だん;;ступень, ступенька, раздел, разряд;0;0;;;
段々;1;だんだん;;постепенно;0;0;;;
殺す;3;ころす;;убивать, сдерживать (чувство);0;0;;;
殻;4;から;;шелуха, кожура, скорлупа, раковина;0;0;;;
毎…;1;まい;;каждый (день, месяц, год);0;0;;;
毎年;1;まいねん;;каждый год;0;0;;;
毎度;4;まいど;;каждый раз, всегда, постоянно;0;0;;;
毎晩;1;まいばん;;каждый вечер;0;0;;;
毎朝;1;まいあさ;;каждое утро;0;0;;;
毒;3;どく;;яд, отрава, токсины, инфекция, вирусы, порча, злоба;0;0;;;
比較;3;ひかく;;сравнение;0;0;;;
比較的;4;ひかくてき;;сравнительно, относительно;0;0;;;
毛;2;け;;волосы, шерсть;0;0;;;
毛布;3;もうふ;;одеяло;0;0;;;
毛皮;4;けがわ;;мех, шкура;0;0;;;
氏;3;し;;суф. господин, он;0;0;;;
氏名;4;しめい;;фамилия и имя;0;0;;;
民謡;4;みんよう;;народная песня, фольклор;0;0;;;
民間;4;みんかん;;частный, гражданский, негосударственный, народный;0;0;;;
気;2;き;;запах, аромат, испарения, воздух;0;0;;;
気に入る;3;きにいる;;нравиться, быть по душе;0;0;;;
気の毒;3;きのどく;;бедный, несчастный, достойный сожаления;0;0;;;
気を付ける;4;きをつける;;быть осторожным, внимательным;0;0;;;
気付く;3;きづく;;обращать внимания, замечать, обнаруживать;0;0;;;
気体;4;きたい;;газ, газообразное тело;0;0;;;
気候;3;きこう;;климат, погода;0;0;;;
気味;3;きみ;;чувство, ощущение, впечатление, признак;0;0;;;
気圧;4;きあつ;;атмосферное давление;0;0;;;
気温;3;きおん;;температура (воздуха);0;0;;;
気配;4;けはい;;признак, подсказка;0;0;;;
水分;4;すいぶん;;влага, влажность, сок;0;0;;;
水平;4;すいへい;;горизонталь, уровень воды;0;0;;;
水平線;4;すいへいせん;;горизонт (по уровню воды);0;0;;;
水曜;4;すいよう;;(сокр.) среда;0;0;;;
水滴;4;すいてき;;капля воды;0;0;;;
水産;4;すいさん;;морепродукты;0;0;;;
水筒;4;すいとう;;фляга, бутылка воды;0;0;;;
水素;4;すいそ;;водород;0;0;;;
水蒸気;4;すいじょうき;;водяной пар;0;0;;;
氷;3;こおり;;лёд;0;0;;;
永い;4;ながい;;долгий, долгое время;0;0;;;
永久;3;えいきゅう;;вечность;0;0;;;
永遠;3;えいえん;;вечность;0;0;;;
汁;4;しる;;сок, суп;0;0;;;
汗;3;あせ;;пот;0;0;;;
汚い;1;きたない;;грязный, запачканный, подлый;0;0;;;
汚す;4;よごす;;пачкать, загрязнять, замарать, испортить;0;0;;;
汚れる;2;よごれる;;пачкаться, загрязняться;0;0;;;
汚染;3;おせん;;пятно, грязь, пачкать загрязнять;0;0;;;
池;1;いけ;;пруд;0;0;;;
汲む;4;くむ;;черпать, вычерпывать, выкачать (про воду);0;0;;;
決して;2;けっして;;ни в коем случае, никогда;0;0;;;
決まり;3;きまり;;решение, договоренность, порядок, правило;0;0;;;
決まる;2;きまる;;быть решенным, определенным;0;0;;;
決定;3;けってい;;решение, постановление, определение;0;0;;;
決心;3;けっしん;;решимость, решение;0;0;;;
汽車;2;きしゃ;;поезд;0;0;;;
沈む;3;しずむ;;тонуть, погружаться, закатываться (о солнце), хандрить;0;0;;;
沖;3;おき;;открытое море;0;0;;;
沢山;1;たくさん;;много;0;0;;;
沸;2;くわく;;кипеть, бурлить, плавиться, расплавляться;0;0;;;
沸かす;2;わかす;;кипятить, будоражить, волновать;0;0;;;
油断;4;ゆだん;;халатность, небрежность, неосторожность;0;0;;;
治る;2;なおる;;поправляться, исправляться, выздоравливать;0;0;;;
泉;3;いずみ;;источник, родник;0;0;;;
泊める;4;とめる;;приютить, пустить на ночлег;0;0;;;
法;3;ほう;;закон, правило, способ, метод, учение, доктрина;0;0;;;
法則;4;ほうそく;;правило, закон;0;0;;;
泡;3;あわ;;пузырь, пена;0;0;;;
波;3;なみ;;волна;0;0;;;
泥;3;どろ;;грязь, слякоть;0;0;;;
泥棒;2;どろぼう;;вор, воровство;0;0;;;
注ぐ;3;そそぐ, つぐ;;лить, поливать, подкладывать (дрова), впадать (о реке), сосредотачивать усилия, уделять внимание;0;0;;;
注す;4;さす;;наливать, применять, подавать напитки;0;0;;;
注射（する） ;2;ちゅうしゃ（する）;;укол, инъекция;0;0;;;
注意（する） ;2;ちゅうい（する）;;внимание, осторожность;0;0;;;
注文;3;ちゅうもん;;заказ;0;0;;;
注目;3;ちゅうもく;;внимание, наблюдение;0;0;;;
泳ぎ;3;およぎ;;плавание;0;0;;;
洋品店;4;ようひんてん;;галантерейный магазин;0;0;;;
洒落;4;しゃれ;;шутка, острота, каламбур, игра слов;0;0;;;
洗濯;1;せんたく;;стирка;0;0;;;
活力;4;かつりょく;;живучесть, живость, энергия, динамичность;0;0;;;
活気;3;かっき;;оживление, одушевление, подъем;0;0;;;
活用;3;かつよう;;практическое применение (использование), (грам.) спряжение;0;0;;;
活躍;4;かつやく;;активность, деятельность, быть активным, играть активную роль;0;0;;;
派手;4;はで;;кричащий, яркий, пёстрый;0;0;;;
流す;3;ながす;;пускать по течению, лить, смывать;0;0;;;
流域;4;りゅういき;;бассейн реки;0;0;;;
流石;4;さすが;;как и следовало ожидать, даже, все еще;0;0;;;
流行る;4;はやる;;быть популярным, модным, широко распространенным;0;0;;;
浮かべる;4;うかべる;;спустить на воду, двигать по воде, вспомнить, представлять;0;0;;;
浮く;4;うく;;выплыть, плыть, быть в хорошем настроении;0;0;;;
浮ぶ;4;うかぶ;;всплывать, плыть, держаться на воде, приходить в голову, вспомниться;0;0;;;
浴びる;1;あびる;;обливаться, принимать ванну, душ;0;0;;;
浴衣;4;ゆかた;;юката (летнее кимоно);0;0;;;
海岸;2;かいがん;;берег моря;0;0;;;
海水浴;4;かいすいよく;;купание в море;0;0;;;
海洋;4;かいよう;;океан;0;0;;;
浸ける;4;つける;;замачивать, замариновать;0;0;;;
消化;4;しょうか;;пищеварение, усвоение (пищи, информации), освоение;0;0;;;
消極的;4;しょうきょくてき;;пассивный, негативный, отрицательный;0;0;;;
消毒;4;しょうどく;;дезинфекция, стерилизация;0;0;;;
消耗;4;しょうもう;;истощение, растрата, износ;0;0;;;
消費;3;しょうひ;;расходование, потребление;0;0;;;
消防;3;しょうぼう;;пожарная охрана;0;0;;;
消防署;4;しょうぼうしょ;;пожарная часть, пожарная охрана;0;0;;;
涙;3;なみだ;;слёзы;0;0;;;
液体;4;えきたい;;жидкий, жидкость;0;0;;;
淡水;4;たんすい;;пресная вода;0;0;;;
深刻;3;しんこく;;глубокий, серьезный, острый;0;0;;;
混ざる・混じる;4;まざる・まじる;;быть смешанным (перемешанным), быть примешанным, быть разбавленным;0;0;;;
混ぜる;4;まぜる;;смешивать, примешивать (до однородной массы);0;0;;;
混ぜる・交ぜる;4;まぜる;;перемешивать (без слияния компонентов);0;0;;;
混乱;3;こんらん;;беспорядок, дезорганизация, хаос, паника;0;0;;;
混合;4;こんごう;;смешивание;0;0;;;
混雑;3;こんざつ;;суматоха, суета, быть переполненным (пассажирами и т.д.);0;0;;;
清い;4;きよい;;чистый, невинный, неиспорченный, непорочный;0;0;;;
清掃;4;せいそう;;чистка, очищение;0;0;;;
清書;4;せいしょ;;чистописание, чистовик;0;0;;;
清潔;3;せいけつ;;чистота;0;0;;;
渇く;4;かわく;;испытывать жажду, хотеть пить;0;0;;;
済ませる;3;すませる;;заканчиваться, завершаться;0;0;;;
渋滞;3;じゅうたい;;задержка, застой, транспортная пробка;0;0;;;
温い;1;ぬるい;;слегка теплый;0;0;;;
温帯;4;おんたい;;умеренный пояс;0;0;;;
温暖;3;おんだん;;тепло, теплый;0;0;;;
測定;4;そくてい;;измерение, межевание, съёмка;0;0;;;
測量;4;そくりょう;;измерение, топографическая съёмка, межевание;0;0;;;
湖み;2;ずうみ;;озеро;0;0;;;
湧く;4;わく;;бить ключом, литься потоком, зародиться;0;0;;;
湯;2;ゆ;;горячая вода, горячий источник, ванна, баня;0;0;;;
湯気;4;ゆげ;;пар;0;0;;;
湯飲み;4;ゆのみ;;чайная чашка;0;0;;;
湾;3;わん;;бухта, залив;0;0;;;
湿る;4;しめる;;отсыреть, намокнуть, стать грустным;0;0;;;
湿度;4;しつど;;влажность, уровень влажности;0;0;;;
湿気;4;しっけ;;сырость, влажность, мокрота;0;0;;;
満ちる;3;みちる;;наполняться, становиться полным, истекать (о сроке);0;0;;;
満員;4;まんいん;;быть заполненным, быть без свободных мест (кино, кафе);0;0;;;
満点;4;まんてん;;высшая оценка, совершенство, безупречность;0;0;;;
満足;3;まんぞく;;удовлетворение, удовлетворенность, достаточность;0;0;;;
準備（する） ;2;じゅんび（する）;;подготовка, приготовление;0;0;;;
溜まる;4;たまる;;собираться, накапливаться;0;0;;;
溜める;4;ためる;;собирать, накапливать, отложить, оставить недоделанным;0;0;;;
溜息;4;ためいき;;вздох;0;0;;;
溢れる;4;あふれる;;наводняться, переполняться, наполниться, быть переполненным;0;0;;;
溶かす;4;とかす;;растворить, расплавить, растопить;0;0;;;
溶く;4;とく;;растворить, расплавить, растопить;0;0;;;
溶ける;4;とける;;плавиться, таять, растворяться;0;0;;;
溶け込む;4;とけこむ;;слиться, соединиться, адаптироваться;0;0;;;
溶岩;4;ようがん;;лава;0;0;;;
溺れる;3;おぼれる;;тонуть, быть погруженным (увлеченным);0;0;;;
滅多に;3;めったに;;почти никогда, редко (с отриц.);0;0;;;
滑ら;4;すずらす;;сдвигать, переставлять, откладывать;0;0;;;
滑る;2;すべる;;скользить, быть скользким, кататься на коньках;0;0;;;
滑れる;4;すべれる;;соскальзывать, соскакивать, сдвигаться, заносить (об автомашине);0;0;;;
滝;4;たき;;водопад;0;0;;;
滞在;3;たいざい;;пребывание (напр., в гостинице);0;0;;;
漁師;4;りょうし;;рыбак;0;0;;;
漁業;4;ぎょぎょう;;рыболовство, рыбная промышленность;0;0;;;
演劇;4;えんげき;;драма, пьеса, представление, театр;0;0;;;
演奏;3;えんそう;;музыкальное выступление, исполнение;0;0;;;
演技;3;えんぎ;;игра, исполнение;0;0;;;
演説;3;えんぜつ;;речь, выступление;0;0;;;
漢和;4;かんわ;;Китай и Япония, китайско-японский;0;0;;;
漫画;2;まんが;;комикс, карикатура;0;0;;;
漬ける;2;つける;;солить, мариновать;0;0;;;
漸く;4;ようやく;;в конце концов, с большим трудом, постепенно, мало-помалу;0;0;;;
潜る;4;もぐる;;нырять, заползать;0;0;;;
潰す;4;つぶす;;раздавить, убить (время), крушить, ломать, промотать;0;0;;;
潰れる;4;つぶれる;;быть раздавленным, быть разрушенным, истратиться, обанкротиться;0;0;;;
澄む・清む;4;すむ;;проясниться (про погоду), стать чистым, прозрачным;0;0;;;
激しい;3;はげしい;;сильный, яростный, резкий, острый, бурный;0;0;;;
激増;4;げきぞう;;резкое увеличение, резкое возрастание;0;0;;;
濁る;4;にごる;;становиться мутным, озвончаться;0;0;;;
濃い;3;こい;;густой, крепкий (о чае), темный (о цвете);0;0;;;
濃度;4;のうど;;концентрация, плотность, густота;0;0;;;
濠;3;ほり;;ров, канава, канал;0;0;;;
濡らす;4;ぬらす;;намочить, увлажнить, окунуть;0;0;;;
濡れる;2;ぬれる;;промокать, намокать;0;0;;;
瀬戸物;4;せともの;;фарфор, керамика;0;0;;;
火傷;4;やけど・かしょう;;ожог;0;0;;;
火口;4;かこう;;кратер;0;0;;;
火曜;3;かよう;;(сокр.) вторник;0;0;;;
火災;3;かさい;;пожар;0;0;;;
灯;3;ひ;;свет, освещение, лампа, факел;0;0;;;
灯台;4;とうだい;;маяк;0;0;;;
灯油;4;とうゆ;;керосин, гарное масло;0;0;;;
灰;3;はい;;пепел, зола;0;0;;;
灰皿;1;はいざら;;пепельница;0;0;;;
灰色;4;はいいろ;;серый цвет;0;0;;;
災難;4;さいなん;;бедствие, катастрофа, несчастный случай;0;0;;;
炊く;4;たく;;готовить, варить;0;0;;;
炊事;4;すいじ;;готовка, кулинария, стряпня;0;0;;;
炎;3;ほのお;;пламя, огонь;0;0;;;
炭鉱;4;たんこう;;каменноугольная шахта;0;0;;;
点々;4;てんてん;;тут и там, местами;0;0;;;
点く;2;つく;;зажигаться, загораться;0;0;;;
点ける;1;つける;;зажигать, включать (свет, электричество);0;0;;;
為;2;ため;;для, из-за;0;0;;;
為さる;2;なさる;;делать;0;0;;;
為す;4;なす;;сделать, совершить, выполнить;0;0;;;
為る;3;する;;делать, совершать;0;0;;;
為替;4;かわせ;;денежный перевод, обмен (напр. валюты);0;0;;;
焚く;4;たく;;жечь, сжечь, топить;0;0;;;
無;1;いない, ぶ, む;;нет, не быть, не иметься, префикс отсутствия, не-, ничто, ничего;0;0;;;
無くす;2;なくす;;лишаться, терять;0;0;;;
無くなる;2;なくなる;;кончаться, быть потерянным;0;0;;;
無し;3;なし;;без, не быть, не иметься;0;0;;;
無地;4;むじ;;гладкий, без рисунка, без узора;0;0;;;
無数;4;むすう;;бесчисленный, несметный, бессчетный;0;0;;;
無料;3;むりょう;;бесплатный;0;0;;;
無理;2;むり;;невозможно, нельзя, необоснованность;0;0;;;
無視;3;むし;;игнорирование, не считаться, не обращать внимания;0;0;;;
無限;4;むげん;;бесконечный, безграничный, неизмеримый;0;0;;;
無駄;3;むだ;;бесполезность, напрасность, тщетность;0;0;;;
焦がす;4;こがす;;сжигать, жечь, обуглить, опалить;0;0;;;
焦げる;4;こげる;;сгореть, обжечься, обуглиться;0;0;;;
焦点;4;しょうてん;;фокус, центр;0;0;;;
然し;1;しかし;;но, однако;0;0;;;
焼ける;2;やける;;гореть, сгорать, выгорать (о цвете), ревновать;0;0;;;
煉瓦;4;れんが;;кирпич;0;0;;;
煎る・炒る;4;いる;;жарить, зажарить;0;0;;;
煙;3;けむり;;дым;0;0;;;
煙い;4;けむい;;дымный, задымлённый;0;0;;;
煙突;4;えんとつ;;дымовая труба;0;0;;;
煙草;1;たばこ;;сигареты;0;0;;;
照らす;4;てらす;;сверкать, освещать, сопоставлять;0;0;;;
照る;4;てる;;светить, сиять, светиться;0;0;;;
煩い・五月蝿い;2;うるさい;;шумный, надоедливый, нудный, придирчивый;0;0;;;
煮える;4;にえる;;свариться, быть сваренным;0;0;;;
煮る;4;にる;;варить, тушить;0;0;;;
熟語;4;じゅくご;;идиома, фразеологический оборот, сложное слово;0;0;;;
熱する;4;ねっする;;нагревать, разогревать, раскалить, возбудиться;0;0;;;
熱中;3;ねっちゅう;;энтузиазм, пыл, увлеченность;0;0;;;
熱帯;3;ねったい;;тропический пояс;0;0;;;
熱心;2;ねっしん;;пыл, рвение, энтузиазм;0;0;;;
燃える;3;もえる;;гореть, пылать;0;0;;;
燃やす;4;もやす;;сжечь, зажечь, воспламенить;0;0;;;
爆発;3;ばくはつ;;взрыв, детонация;0;0;;;
爪;2;つめ;;ногти, когти, копыто, клешня;0;0;;;
爽やか;4;さわやか;;свежий, освежающий, звонкий;0;0;;;
片付く;4;かたづく;;быть в порядке, быть решенным, быть улаженным;0;0;;;
片付ける;2;かたづける;;приводить в порядок, убирать;0;0;;;
片仮名;1;かたかな;;катакана;0;0;;;
片寄る;4;かたよる;;наклониться, склонить, дать крен, быть расположенным (к чему-то);0;0;;;
片道;4;かたみち;;дорога в одну сторону;0;0;;;
牧場;4;ぼくじょう;;скотоводческая ферма, ранчо, пастбище;0;0;;;
牧畜;4;ぼくちく;;скотоводство;0;0;;;
物事;3;ものごと;;дела, вещи, обстоятельства;0;0;;;
物凄い;4;ものすごい;;жуткий, страшный, ужасный;0;0;;;
物差し;4;ものさし;;линейка, мерка;0;0;;;
物置;4;ものおき;;кладовая;0;0;;;
物語る;4;ものがたる;;рассказывать, повествовать, свидетельствовать;0;0;;;
物質ぶ;3;っしつ;;(филос.) материя, вещество;0;0;;;
物音;3;ものおと;;шум, звук;0;0;;;
物騒;4;ぶっそう;;беспокойный, тревожный, опасный;0;0;;;
特別;2;とくべつ;;особенный, специальный, исключительный;0;0;;;
特売;4;とくばい;;распродажа, продажа по сниженной цене;0;0;;;
特定;4;とくてい;;специальный, особо установленный;0;0;;;
特徴;3;とくちょう;;отличительная черта, особенность;0;0;;;
特殊;4;とくしゅ;;особый, специфические, характерный, своеобразный;0;0;;;
特長;4;とくちょう;;достоинство, сильная сторона;0;0;;;
犯人;3;はんにん;;преступник;0;0;;;
犯罪;3;はんざい;;преступление, уголовное дело;0;0;;;
状態;3;じょうたい;;состояние, положение, условия (жизни, климатические);0;0;;;
状況;3;じょうきょう;;ситуация, обстановка, положение дел;0;0;;;
狂う;3;くるう;;сойти с ума, помешаться, ломаться, выходить из строя;0;0;;;
狙い;4;ねらい;;цель, прицел, намерение, идея;0;0;;;
狙う;4;ねらう;;целиться, нацелиться, наметить, следить;0;0;;;
狡い;4;ずるい;;коварный, хитрый, подлый, нечестный;0;0;;;
独りでに;4;ひとりでに;;само собой, естественно, автоматически;0;0;;;
独り言;4;ひとりごと;;разговор с самим собой;0;0;;;
独特;3;どくとく;;своеобразный, самобытный, характерный;0;0;;;
独立;3;どくりつ;;независимость, самостоятельность, обособление;0;0;;;
独身;3;どくしん;;одинокая жизнь, безбрачие, незамужняя, холостяк;0;0;;;
猫;1;ねこ;;кошка;0;0;;;
献立;4;こんだて;;меню;0;0;;;
猿;3;さる;;обезьяна;0;0;;;
玄関;1;げんかん;;прихожая, передняя, холл;0;0;;;
率;3;りつ;;соотношение, процент, коэффициент, индекс, показатель;0;0;;;
玉・球・弾;3;たま;;шар, мяч, бусинка, пуля, снаряд, эл. лампочка, бильярд, драгоценность;0;0;;;
王;3;おう;;король, монарх;0;0;;;
王女;4;おうじょ;;принцесса;0;0;;;
王子;3;おうじ;;принц;0;0;;;
王様;3;おうさま;;король;0;0;;;
玩具;2;おもちゃ;;игрушка;0;0;;;
珍しい;2;めずらしい;;редкий, необычный, оригинальный;0;0;;;
現す;3;あらわす;;проявлять, выказывать, обнаруживать;0;0;;;
現に;4;げんに;;фактически, действительно;0;0;;;
現れ;3;あらわれ;;проявление, выражение;0;0;;;
現場;3;げんば;;место происшествия, место действия;0;0;;;
現実;3;げんじつ;;действительность, реальность;0;0;;;
現状;3;げんじょう;;состояние, действительное положение;0;0;;;
